text,date,amusement_parks,ferris_wheels,water_parks,miniature_parks,baths_and_saunas,climbing,stadiums,winter_sports,natural_springs,water,nature_reserves,beaches,railway_stations,dams,mints,mineshafts,science_museums,churches,cathedrals,monasteries,synagogues,hindu_temples,mosques,archaeology,castles,fortified_towers,bunkers,military_museums,battlefields,war_graves,cemeteries,mausoleums,crypts,monuments,tumuluses,wall_painting,fountains,sculptures,gardens_and_parks,archaeological_museums,art_galleries,biographical_museums,history_museums,local_museums,national_museums,fashion_museums,planetariums,zoos,aquariums,skyscrapers,towers,historic_architecture,bridges,text_en
".Zaintrygowuje mnie także historia architektury i lokalny ludowy styl życia.Moja miłość do kultury i sztuki jest widoczna w moich zajęciach rekreacyjnych, takich jak odwiedzanie muzeów, uczestnictwo w koncertach lub czytanie książek","Planuję średnią długość wycieczki trwającą około 10 dni, która rozpocznie się za trzy miesiące.",2,4,3,2,3,1,3,1,4,3,4,3,3,2,2,2,4,4,3,3,3,2,1,3,4,3,2,3,2,2,3,3,1,4,1,3,3,3,4,4,4,3,3,3,4,2,2,3,2,3,3,4,3,"I am a lover of culture and art.I spend my free time in museums, art galleries, participating in concerts and reading books.I am interested in the history of architecture and local folklore."
"Jestem entuzjastką podróży i różnorodnych doświadczeń. Wolny czas najchętniej spędzam na poznawaniu nowych kultur, tradycji i kuchni. Interesuję się również sztuką współczesną oraz przyrodą.","Planuję średnią wycieczkę trwającą około 12 dni, która rozpocznie się za cztery miesiące.",3,4,3,2,3,2,3,1,4,4,5,4,4,3,2,3,4,4,4,3,3,4,2,4,4,3,2,3,3,3,3,3,2,4,2,3,3,4,4,4,5,3,4,3,4,2,2,4,3,3,4,4,3,"I am an enthusiast of travel and various experiences.I most often spend my free time getting to know new cultures, traditions and cuisine.I am also interested in contemporary art and nature."
.Jestem projektantem mody z pasją do gotowania kuchni włoskiej. Moje hobby tworzy wyjątkowe projekty modowe i przygotowuje autentyczne potrawy z Włoch,Moja wycieczka odbędzie się od 7 kwietnia do 21 kwietnia 2023 roku.,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,2,4,1,1,1,1,1,1,1,"I am a fashion designer with passion for cooking Italian cuisine.My hobby is creating unique fashion projects and preparing authentic dishes from Italy.I most often spend my free time in a design and kitchen laboratory, derived from both fashion and flavors of Italian dishes."
"Jestem pasjonatem przyrody i aktywnego wypoczynku. Moje hobby to wspinaczka górska, nurkowanie oraz odkrywanie parków narodowych. Wolny czas najchętniej spędzam na świeżym powietrzu, zdobywając szczyty gór czy nurkując w kolorowych rafach koralowych. Interesuję się również historią naturalną i ekologią.","Planuję wyjątkową wycieczkę trwającą około 10 dni w okresie letnim, aby maksymalnie korzystać z dobrej pogody i możliwości eksploracji przyrody.",2,1,4,2,3,5,1,1,4,5,5,3,2,3,1,2,3,1,1,1,1,2,1,3,3,4,4,3,2,2,2,1,1,3,2,1,2,3,3,4,2,1,3,3,4,1,2,4,4,1,3,4,3,"I am passionate about nature and active recreation.My hobby is mountain climbing, diving and discovering national parks.I spend my free time in the fresh air, conquering the tops of the mountains or diving in colorful coral reefs.I am also interested in natural history and ecology."
Jestem entuzjastą natury i aktywności na świeżym powietrzu.,"Planuję długą wycieczkę trwającą około 3 tygodni, która rozpocznie się za sześć miesięcy.",2,3,3,2,1,4,2,1,5,5,5,2,3,3,1,2,2,3,3,2,1,1,1,3,4,3,2,2,2,2,3,2,1,3,1,2,2,2,4,3,2,2,3,2,3,1,1,2,2,3,4,3,3,"I am an enthusiast of nature and outdoor activity.I most often spend my free time hiking around national parks, cycling rides and campsites.I am also interested in the history of the places I visit."
". Jestem zafascynowany miejscami związanymi z przeszłością, architekturą i kulturą.Jestem miłośnikiem podróży z pasją do historii. Zawsze biorę ze sobą aparat, aby uwiecznić piękno i atmosferę odwiedzonych miejsc",maj 2023,3,4,2,1,2,1,2,1,3,4,4,3,4,3,2,2,4,5,5,4,3,3,3,4,5,4,3,4,4,4,3,3,2,4,3,4,3,4,4,4,4,3,5,4,5,2,2,3,3,3,4,5,4,"I am a travel lover with passion for history.I am fascinated by places related to the past, architecture and culture.I always take a camera with me to immortalize the beauty and atmosphere of visited places."
" Hobby to programowanie, udział w konferencjach technologicznych i zbieranie książek fantasy.Jestem entuzjastą technologii i miłośnikiem literatury. Moje zainteresowania koncentruje się na innowacjach technologicznych, eksploracji muzeów naukowych i technologicznych oraz czytaniu literatury science fiction..wolny czas we współczesnych ośrodkach technologicznych, bibliotekach i konferencjach literackich","Planuję dłuższą podróż na 10 dni, od 5 do 15 listopada 2024 roku.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,4,1,1,2,3,1,1,"I am an enthusiast of technology and a lover of literature.My interests focus on technological innovations, exploration of science and technology museums and reading science fiction literature.The hobby is programming, participation in technology conferences and collecting fantasy books.I most often spend my free time in modern technology centers, libraries and literary conferences."
"Moje zainteresowania są zróżnicowane, obejmujące zarówno współczesne zabytki, jak i spokojne lokalizacje otoczone naturą.Badanie różnych form sztuki i kultury jest dla mnie źródłem inspiracji.","Preferuję przełom pory letniej i jesiennej. Uwielbiam ciepłe dni, ale również klimatyczne wieczory, które sprzyjają zwiedzaniu muzeów i galerii sztuki.",4,3,3,3,4,3,3,2,3,4,4,4,3,3,2,3,4,4,4,3,3,3,3,4,4,3,3,4,3,3,4,4,3,4,3,4,4,4,4,4,5,4,4,4,4,3,3,4,4,3,4,4,4,I am a person with different interests.I like both modern attractions and peaceful places surrounded by nature.Discovering various forms of art and culture is a source of inspiration for me.
"Podróżowanie jest dla mnie źródłem emocji, ponieważ lubię odkrywać nowe kultury, potrawy i tradycje.Zaplanuję moje wycieczki, aby w pełni zanurzyć się w lokalnej kulturze i atmosferze.","Planuję podróże zazwyczaj z wyprzedzeniem, aby mieć pewność, że zobaczę najważniejsze atrakcje danego miejsca. Preferuję podróże poza sezonem turystycznym, aby uniknąć tłumów i cieszyć się spokojem danego miejsca.",4,4,3,3,4,3,4,3,4,5,5,4,4,3,3,4,4,5,5,4,4,3,3,4,4,4,3,4,3,4,4,3,3,4,3,4,4,4,4,4,4,4,5,4,5,3,3,4,4,4,5,5,4,"Traveling for me is a passion and a way to expand the horizons.I like to discover new cultures, flavors and customs.I always try to plan my travels to make the best use of time and immerse myself in a local atmosphere."
"Jako entuzjasta podróży lubię odkrywać miejsca o bogatej historii i kulturze.Moje ulubione wydatki obejmują wycieczki spokoju, a także zabytki i dźwięki architektury i sztuki oraz z miłością fotografowanie historycznych miejsc i zabytków.",wrzesień 2023,2,3,2,1,3,1,2,1,3,4,4,3,4,3,2,2,4,5,5,4,3,3,3,4,5,4,3,4,4,4,3,3,2,4,3,4,3,4,4,4,4,3,5,4,5,2,2,3,3,3,4,5,4,"I am an enthusiast of travel, especially for places with a rich history and culture.On trips, the price is calm and the opportunity to enjoy the beauty of architecture and works of art.Photos of nature and monuments are my passion."
". Jestem zafascynowany dziedzictwem kulturowym i zabytkami.Jestem turystą, który szuka miejsc z ciekawą historią","Preferuję podróże w okresie cieplejszym, ale jestem elastyczny jeśli chodzi o daty.",1,1,1,1,1,1,1,1,2,2,2,1,3,2,2,2,3,5,4,4,4,4,4,5,5,4,3,5,5,5,4,5,5,4,4,2,2,2,2,5,3,3,5,4,5,1,1,1,1,1,3,5,4,I am a tourist who is looking for places with an interesting story.I am fascinated by cultural heritage and monuments.
"Moją pasją jest tworzenie sztuki cyfrowej, wypróbowanie różnych stylów rysowania i uczestnictwo w konwencjach związanych z mangi.Często używam tabletu graficznego do pracy nad nowymi projektami..Ponadto fascynuje mnie japońska kultura i świat mangi.Jestem projektantem komputerowym i artystą mangi",Moja wycieczka odbędzie się od 10 października do 25 października 2023 roku.,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,"I am a computer graphic designer and I am passionate about drawing a manga.My hobby is the creation of digital art, experimenting with various styles of drawing and participation in manga conventions.I most often spend my free time on a graphic tablet, working on new projects.I am also interested in Japanese culture and the manga world."
.Moja pasja do podróży polega na odkrywaniu różnych kultur i poznaniu świeżych jednostek.Jako miłośnik literatury zawsze staram się odwiedzać miejsca z bogatą historią i urzekającymi budynkami,"Najbardziej odpowiada mi podróżowanie w okresie wiosenno-letnim, ale jestem elastyczna co do dat i gotowa na spontaniczne wypadki.",3,4,3,4,3,4,3,2,4,4,5,4,4,3,2,3,5,5,5,4,4,3,3,5,5,4,3,4,4,4,4,3,3,4,3,4,4,3,5,5,4,4,5,4,5,3,3,4,4,4,5,5,4,"I love traveling because of cultural diversity and the opportunity to meet new people.As a story lover, I always try to visit places with a rich past and interesting architecture."
"Jestem turystą, który poszukuje miejsc o ciekawej historii. Fascynuje mnie dziedzictwo kulturowe i zabytki.","Preferuję podróże w okresie cieplejszym, ale jestem elastyczny jeśli chodzi o daty.",1,1,1,1,1,1,1,1,2,2,2,1,3,2,2,2,3,5,4,4,4,4,4,5,5,4,3,5,5,5,4,5,5,4,4,2,2,2,2,5,3,3,5,4,5,1,1,1,1,1,3,5,4,I am a tourist who is looking for places with an interesting story.I am fascinated by cultural heritage and monuments.
"Lubię też spędzać czas na zewnątrz, angażować się w zajęcia związane z moją sportową rutyną lub dążeniem do interesujących hobby.Lubię uczestniczyć w różnych wydarzeniach sportowych, odwiedzać stadiony i ćwiczyć różne sporty, takie jak bieganie, jazda na rowerze i odkrywanie nowych.Moja pasja polega na sporcie i aktywności fizycznej.","Planuję krótką wycieczkę na 3 dni, od 20 do 22 sierpnia 2024 roku.",3,2,2,1,4,3,5,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,"I am a lover of sport and physical activity.My interests focus on participating in various sporting events, visiting stadiums and practicing various disciplines.The hobby is jogging, cycling and experimenting with new types of sports.I spend my free time outdoors, engaging in sports activities."
"Moje zainteresowania obejmują eksplorację górzystych szlaków, jazda na rowerze na duże odległości i eksplorację obszarów naturalnych.Mam silną pasję do jazdy na rowerze i podróżach rowerowych.Lubię spędzać wolny czas na obu kołach i przyjmować piękno przyrody podczas podróży.Jestem również zainteresowany zaangażowaniem się w ekoturystykę i zrównoważoną turystykę.",Moja wycieczka odbędzie się od 10 czerwca do 25 czerwca 2023 roku.,1,2,1,1,1,1,1,1,3,4,5,1,4,2,1,1,2,2,1,1,1,1,1,2,3,2,1,1,1,1,2,1,1,2,1,1,1,1,4,2,1,1,2,3,3,1,1,1,1,2,3,2,3,"I am passionate about cycling and bicycle travel.My hobby are long bicycle routes, discovering picturesque trails and exploration of natural corners.I spend my free time on two wheels, enjoying the beauty of landscapes.I am interested in ecotourism and sustainable development of tourism."
".Jako turysta jestem zainteresowany odkrywaniem spokojnych miejsc, które oferują zarówno relaks z zgiełku codziennego życia",Planuję wycieczkę w okresie od 15 sierpnia do 31 sierpnia 2023 roku.,2,3,2,2,3,2,2,2,4,4,5,3,3,4,2,3,3,4,4,3,3,3,2,4,4,3,2,3,3,3,3,3,2,4,3,3,3,4,4,4,4,3,4,4,4,3,3,3,3,2,4,4,4,"I am a tourist who loves peaceful places away from the hustle and bustle.I am mainly interested in nature, architecture and local culture.I am looking for places where I can relax around beautiful landscapes and at the same time enjoy unique monuments and traditions."
"Jestem zapalonym graczem planszowym i regularnie uczestniczę w turniejach gier planszowych. Moje hobby to kolekcjonowanie planszówek, organizowanie spotkań gry planszowej oraz udział w turniejach. Najchętniej spędzam wolny czas w miejscach, które oferują szeroki wybór gier planszowych oraz organizują turnieje dla społeczności graczy.","Planuję swoją wycieczkę na maj. Będzie trwała 7 dni, od 15 maja do 21 maja.",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,"I am an avid board player and I regularly participate in board games tournaments.My hobby is collecting board games, organizing board games and participation in tournaments.I most often spend my free time in places that offer a wide selection of board games and organize tournaments for player community."
"Lubię odkrywać na świeżym powietrzu i być na zewnątrz, szczególnie w parkach, górach, jezior i miejscach, które zapewniają możliwości fizycznego relaksu.Ponadto cenię ciche obszary, aby zrelaksować się i odpocząć.",Planuję wycieczkę w okresie od 15 lipca do 30 lipca 2023 roku.,2,3,2,2,3,4,3,2,4,4,5,3,2,4,2,3,2,3,2,3,2,2,2,3,4,3,2,3,3,3,3,2,2,3,2,2,3,3,4,3,3,2,3,3,3,2,2,4,3,2,3,3,3,"I am a lover of nature and outdoor activity.I am interested in national parks, mountains, lakes and places offering the possibility of active rest.I also value calm corners, where I can relax away from the hustle and bustle."
"Jestem zainteresowany historią. Moje hobby to zwiedzanie miejsc o bogatej przeszłości, uczestnictwo w wydarzeniach historycznych oraz eksploracja zabytków. Najchętniej spędzam wolny czas w miejscach, które pozwalają mi zgłębić historię, odkrywać tajemnice przeszłości i doceniać dziedzictwo kulturowe.","Planuję swoją wycieczkę na lipiec. Będzie trwała 14 dni, od 10 lipca do 23 lipca.",1,2,1,1,1,1,2,1,3,4,3,2,4,3,2,3,4,4,5,3,3,2,3,5,5,4,4,5,5,5,4,4,4,4,3,2,1,2,3,5,3,2,5,4,5,2,1,1,1,2,3,5,4,"I am interested in history.My hobby is visiting places with a rich past, participation in historical events and exploration of monuments.I most often spend my free time in places that allow me to explore history, discover the secrets of the past and appreciate the cultural heritage."
"Jestem osobą o zainteresowaniach kulturowych i historycznych, pasjonatem odwiedzania miejsc z bogatą historią. Najczęściej spędzam wolny czas w środowisku, które inspiruje mnie do odkrywania przeszłości iDowiedz się o różnych aspektach kultury.. Moim hobby to eksploracja muzeów, zabytków i miejsc kulturalnych",Moja wycieczka odbędzie się od 5 września do 20 września 2023 roku.,2,4,3,2,3,1,3,1,3,4,4,2,4,3,1,2,5,4,5,3,2,2,2,4,4,3,2,3,2,3,3,2,1,4,3,4,3,4,4,4,4,3,5,4,5,3,2,3,3,4,4,4,4,"I am a person with cultural and historical interests, passionate about visiting places with a rich history.My hobby is the exploration of museums, monuments and cultural places.I most often spend my free time in an environment that inspires me to explore the past and learn about various aspects of culture."
"Jestem pasjonatem nauki i techniki. Moje zainteresowania skupiają się na odkrywaniu tajemnic wszechświata oraz nowinkach technologicznych. Wolny czas najchętniej spędzam w muzeach nauki, planetariach i miejscach, gdzie mogę zgłębiać wiedzę z dziedziny technologii.",Moja wycieczka odbędzie się od 10 lipca do 25 lipca 2023 roku.,2,3,1,1,1,1,2,1,2,1,3,1,2,1,1,1,5,2,2,1,1,1,1,2,2,1,1,3,1,2,2,1,1,3,1,2,2,2,3,4,2,2,4,3,4,2,5,1,2,3,4,2,3,"I am passionate about science and technology.My interests focus on discovering the secrets of the universe and technological innovations.I most often spend my free time in science museums, planetaries and places where I can explore knowledge in the field of technology."
".Emily Johnson jest młodą artystką, która rozwinęła silną pasję do sztuki współczesnej i lubi odkrywać nowe krajobrazy artystyczne","Planuję swoją wycieczkę na marzec. Będzie trwała 7 dni, od 15 marca do 21 marca.",2,3,1,2,2,1,2,1,3,4,3,2,3,2,1,1,4,3,4,2,2,3,1,3,2,2,1,3,2,3,2,2,1,3,1,4,3,4,4,3,5,3,3,4,5,5,3,2,2,5,5,3,3,"I am a young artist named Emily Johnson.My interests focus mainly around contemporary art.I love artistic travels, during which I am looking for inspiration in various places around the world."
"Spędzam wolny czas na gotowaniu nowych potraw, oglądaniu gwiazd i szukaniu inspiracji w nauce.. Hobby jest organizacją astronomicznych obserwacji, gotowania eksperymentów kulinarnych i udział w wydarzeniach astronomicznych.Jestem pasjonatem astronomii i fanem fuzji. Moje zainteresowania obejmują obserwacje nocnego nieba, badanie kosmiczne i eksperymentowanie z kombinacją smaków kulinarnych","Planuję krótką astronomiczną podróż na 4 dni, od 10 do 13 kwietnia 2025 roku.",1,3,1,1,1,1,1,1,1,1,4,1,1,1,1,1,5,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,2,4,1,3,1,5,1,5,1,1,2,4,1,1,"I am passionate about astronomy and a fan of Fusion.My interests include observations of the night sky, space examination and experimenting with a combination of culinary flavors.The hobby is an organization of astronomical observations, cooking culinary experiments and participation in astronomical events.I spend my free time cooking new dishes, watching the stars and searching for inspiration in learning."
"Jestem osobą o spokojnym temperamencie, ceniąc głównie chwile relaksu i kontemplacji.. Wolę spokojne i malownicze miejsca, w których mogę cieszyć się pięknem otaczającej natury lub kultury danego miejsca","Preferuję podróże poza sezonem turystycznym, aby uniknąć tłumów i cieszyć się atmosferą miejsc bez pośpiechu. Lubię także pory roku, kiedy natura prezentuje się w pełni swojego uroku.",2,3,2,3,2,3,2,2,4,4,5,3,4,4,3,3,2,4,4,4,3,4,3,5,5,4,4,3,3,4,4,4,3,4,3,2,3,4,4,5,3,2,5,4,5,2,2,3,3,2,4,5,4,"I am a person with a calm temperament, valuing mainly moments of relaxation and contemplation.I prefer calm and picturesque places where I can enjoy the beauty of the surrounding nature or culture of a given place."
"Ponadto intryguje mnie lokalna kultura i tradycje, które mnie otaczają.Moja miłość do przyrody i aktywna rekreacja jest tym, co najbardziej lubię, wraz z odkrywaniem obszaru pieszych, rejestrowaniem obrazów otoczenia i nurkowania.","Planuję dłuższą wycieczkę trwającą około 3 tygodni, która rozpocznie się za cztery miesiące.",2,3,4,2,3,4,2,1,5,5,5,3,2,3,1,2,3,4,3,2,1,2,1,4,4,3,2,2,2,2,3,3,1,4,1,3,3,3,5,4,4,3,3,3,4,2,1,3,3,3,4,4,3,"I am a lover of nature and active recreation.I most often spend my free time on pedestrians, photographing landscapes and diving.I am also interested in local culture and traditions."
