,text,date,amusement_parks,ferris_wheels,water_parks,miniature_parks,baths_and_saunas,climbing,stadiums,winter_sports,natural_springs,water,nature_reserves,beaches,railway_stations,dams,mints,mineshafts,science_museums,churches,cathedrals,monasteries,synagogues,hindu_temples,mosques,archaeology,castles,fortified_towers,bunkers,military_museums,battlefields,war_graves,cemeteries,mausoleums,crypts,monuments,tumuluses,wall_painting,fountains,sculptures,gardens_and_parks,archaeological_museums,art_galleries,biographical_museums,history_museums,local_museums,national_museums,fashion_museums,planetariums,zoos,aquariums,skyscrapers,towers,historic_architecture,bridges
19,"Dodatkowo lubię zwierzęta takie jak koty, a także pracują nad roślinami w ogrodzie lub czytać na spokojnej wsi.Lubię ogrodnictwo i spędzanie czasu na zewnątrz, zwłaszcza odwiedzanie parków, ogrodów i ogrodów botanicznych, które są dla mnie ważne.",trzydniowa wycieczka 28-30 kwietnia 2024,1,1,1,3,1,0,1,1,3,4,5,1,1,2,0,2,2,5,5,5,3,2,2,2,4,3,2,1,1,1,2,2,2,2,2,2,2,1,5,2,2,2,2,3,3,0,3,5,5,1,2,3,1
20,".Lubię zwiedzać atrakcje turystyczne w tradycyjny sposób, takie jak spacery po zamkach i jedzenie w barach mlecznych;I szczególnie interesuję się strzelaniem łuków.Kiedy mam wolny czas, najczęściej jeżdżę na rowerze","W czwartek rano, od 15 do 30 listopada",2,1,3,1,3,5,3,4,3,4,2,4,5,2,2,4,5,5,3,4,3,2,2,4,5,5,5,5,5,5,5,3,2,3,2,5,4,2,2,5,3,2,1,0,2,4,3,5,4,3,2,4,2
21,"Mam pasję do gotowania i spalania, co często robię w wolnym czasie.Ponadto lubię tańczyć tańce balowe, odkrywać architekturę i miejsca historyczne oraz cieszyć się bardziej niekonwencjonalnymi i wyjątkowymi doświadczeniami..Wolę jeść w spokojnych miejscach, spożywać nieznane potrawy i próbować potraw z Polski, Włoch, Hiszpanii i Meksyku",Od 13 do 17 listopada,4,4,2,1,2,4,1,0,0,3,3,2,0,0,1,1,2,1,1,0,0,0,0,2,2,1,1,3,1,2,0,0,0,2,1,3,3,2,4,2,1,1,2,1,3,1,1,3,3,1,2,2,2
22,"Lubi także przyjmować naturalne piękno historii Polski, wędrując po górach i odwiedzać ogrody zoologiczne, ogrody i spacery przyrody..Lubi sport, ogrodnictwo i jazda samochodem",Planuję wycieczkę 15 do 20 lipca 2024,4,5,2,5,5,0,5,5,5,5,5,4,0,3,2,5,5,5,5,5,5,5,5,4,5,5,5,5,3,2,2,2,3,4,1,2,4,3,4,3,3,3,4,4,5,5,5,5,5,2,4,4,2
23,"Restauracje to moje miejsca na posiłki i naprawy, a spędzanie czasu z przyjaciółmi jest hobby.Lubię jeździć na rowerze i pływanie, a także inne zajęcia wolne.",Od 5 do 30 sierpnia,5,3,5,3,5,4,0,3,5,5,2,5,4,3,2,4,5,4,2,4,3,5,5,3,4,3,5,2,1,3,5,2,1,4,2,3,4,2,5,3,2,4,3,2,4,5,5,3,4,5,3,4,2
24,".Po odwiedzeniu miejsc turystycznych wybieram dobrze zachowane zabytki, zwłaszcza kompleksy ogrodowe.Lubię rysować i fantasy i wolę spędzać wolny czas w zrelaksowanym otoczeniu.Jego zainteresowania obejmują zarówno sztukę, szczególnie w dziale malarskim, jak i architekturę, szczególnie krajobrazy","Wycieczka zacznie się wyjazdem  22 listopada , o godzinie 9:30, zakończy 27 listopada a planowany powrót to godzina około 21:00",0,2,0,0,1,2,2,2,3,5,5,5,1,2,0,5,4,4,5,2,2,3,1,4,5,2,0,0,0,0,0,2,0,3,2,3,4,4,5,4,5,5,4,0,1,0,0,2,4,5,5,5,5
25,"Jako osoba mam wiele zainteresowań, takich jak filozofia, literatura fantasy i uprawianie sportu lub gitary..Moje preferowane zajęcia wypoczynkowe są zarówno aktywne, jak i pasywne, a najpopularniejsze strony turystyczne wymagają, żebym nauczył się czegoś interesującego",W przyszłą sobotę i niedzielę.,4,2,4,3,3,4,5,4,2,3,3,2,1,2,3,4,5,4,4,4,4,4,4,4,5,4,4,3,4,3,3,2,2,4,3,3,4,4,4,3,4,4,4,3,4,3,5,5,5,4,3,5,3
26,"Mam brązową odznakę jazdy i przygotowuję się do srebrnej odznaki.Od czasu był młody, pasjonuje się zwierzętami..Większość czasu spędzam oglądając telewizję i robiąc różne wyścigi koni.Moja rodzina obejmuje dwa psy, które są moim najlepszym przyjacielem.Lubię jeździć konno po koniach tak samo, jak uwielbiam podróżować (co stało się dla mnie hobby).Mam przywiązanie do koni, psów, kotów, papug, węży i miniatur",Wycieczka odbędzie się w dniu 16 listopada 2023 roku od godziny 7:00 do godziny 22:30,2,4,5,1,2,1,1,1,1,3,5,4,3,2,2,5,2,2,2,2,2,1,1,4,3,3,3,1,5,5,5,3,3,1,1,2,0,1,2,3,2,3,2,1,1,3,4,5,5,5,5,2,2
27,"Spędzanie czasu na motocyklach jest dla mnie normą, ponieważ lubię zwiedzać atrakcje turystyczne w ich oryginalnym stylu, takie jak spacery po zamkach..Lubię też aktywność i jeść w barach mlecznych, a on fascynuje strzelanie łuków","W czwartek rano, od 15 do 30 listopada",2,1,3,1,3,5,3,4,3,4,2,4,5,2,2,4,5,5,3,4,3,2,2,4,5,5,5,5,5,5,5,3,2,3,2,5,4,2,2,5,3,2,1,0,2,4,3,5,4,3,2,4,2
28,"Moje zainteresowania to książki, nauka, sztuka i muzyka, które są również moimi hobby.Lubię grać w gry planszowe z przyjaciółmi lub spędzać czas w lesie podczas zabawy..Kiedy podróżuję do atrakcji turystycznych, szukam zajęć obejmujących spacery po ulicach miast, muzeów, galerii sztuki, pokazów rozrywkowych i sportów ekstremalnych",od 8 do 13 stycznia ,4,2,1,1,0,4,2,2,4,5,4,2,4,2,4,4,5,5,5,5,5,5,5,5,5,4,4,3,3,4,4,4,5,3,3,5,3,5,4,5,5,4,4,3,3,2,5,4,3,3,2,5,3
29,".Chociaż Krakow może być trudnym miejscem do odwiedzenia, lubię jeść lokalne potrawy typowe dla tego obszaru.Interesuje mnie lotnictwo i lubię spędzać czas na zewnątrz, szczególnie w lesie",Jestem tam przez cały rok,4,3,2,2,3,4,1,0,4,4,4,4,3,4,1,3,4,2,2,2,2,2,2,3,4,4,4,4,4,3,1,1,2,2,0,4,4,2,2,3,3,3,3,3,4,0,4,4,4,5,5,3,5
30,"RPG, gra planszowa i LARP należą do moich ulubionych rozrywek.Lubię czytać książki w kręgach naukowych w wolnym czasie;odkrywanie miast i zabytków poprzez muzea i wycieczki w góry;Ciesząc się hamburgerami i restauracjami z tradycyjnym polskim jedzeniem, a także dobrym piwem (czasami podawanym przez browar Kraft).",Dwa tygodnie w lipcu,1,1,1,1,3,1,1,2,3,3,3,4,2,2,3,3,4,3,4,3,3,4,4,2,4,4,3,3,2,3,3,3,3,2,2,4,3,3,3,3,4,4,4,5,4,3,5,4,4,3,5,5,3
31,"Jego pracą jest jego hobby.Jest pasjonatem sztuki, historii i na świeżym powietrzu..Lubimy spędzać czas z rodziną i jemy w tradycyjnych i lokalnych restauracjach, takich jak tawerny",19 listopada caly dzień ,3,5,3,5,4,3,2,3,5,5,5,5,4,5,4,5,5,5,5,5,4,3,2,5,5,5,5,5,5,5,5,5,5,5,5,2,3,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5
32,"Preferuję odtwarzanie działań pasywnych lub aktywnych, a także odkrywanie pokoi ewakuacyjnych, centrów naukowych, malowniczych obszarów oraz robienia celowników i dźwięków podczas jadania w małych, atmosferycznych restauracjach serwujących lokalne potrawy lub potrawy z różnych krajów, takich jak Indiei Azja..Moje zainteresowania obejmują gry planszowe, książki karne i podcasty True Crime",Od 1 lipca do 7 lipca,5,3,3,2,5,3,1,1,1,4,5,5,2,3,5,5,5,1,4,4,3,3,3,5,5,4,5,4,4,2,1,3,3,0,1,1,3,1,1,5,2,5,5,3,5,4,5,5,5,5,5,5,3
33,"Jednak jeśli chodzi o odwiedzanie atrakcji turystycznych, wolę spędzać czas w bardziej aktywnych miejscach, takich jak parki rolkowe, parki wspinaczkowe/szlakowe i pokoje ucieczki.Dodatkowo lubię modę, projekt odzieży i rysować ubrania..Moja pasja polega na oglądaniu sportu artystycznego i obserwowaniu ich historii, która jest również moim hobby","za tydzień, od wieczora 17 listopada do południa 19 listopada",5,2,5,3,3,4,2,5,0,3,1,3,1,1,1,2,2,2,3,0,1,1,1,3,3,2,3,1,0,0,0,2,3,3,2,4,3,2,2,3,4,2,2,2,3,5,4,4,4,5,5,3,5
34,".Moje zainteresowanie polega na odkrywaniu otaczającego mnie świata, ale przyciągam ludzi, którzy są zadowoleni z bycia w pobliżu i ich kultury (szczególnie tych, którzy identyfikują się jako LGBT).Lubię także uczestniczyć w różnych wydarzeniach, w tym w pokojach ucieczki, parkach naukowych, przejażdżkach dreszczem i nocnym.Mam hobby, takie jak psychologia ludzi i psów, fizyka i lubię chodzić po górach",Od 20 do 30 kwietnia ,5,2,5,3,5,5,3,5,3,5,2,2,5,1,1,5,5,2,2,2,2,3,2,3,2,2,4,2,2,2,1,1,1,2,3,4,4,4,4,1,5,2,2,1,1,3,5,5,5,2,4,2,2
35,"Preferuję odkrywanie miejsc historycznych, a także muzeów lub muzeów sztuki poświęconych postaciom historycznym..Moja pasja polega na literaturze i historii, szczególnie w klasycznych książkach.Lubię czytać książki i pisać w języku polskim, jak i angielskim.Szczególnie interesują mnie era polskiej młodzieży i wojen","Za tydzień, od 17 do 19 listopada",0,2,1,1,4,0,1,1,2,1,2,3,1,1,2,4,4,3,3,1,2,3,2,4,3,2,1,0,3,2,2,2,2,1,2,1,2,3,2,4,5,5,5,4,5,5,2,5,4,2,2,5,2
36,"Interesuje mnie gier planszowy i jazda na rowerze, ale mój wolny czas jest ograniczony.Muzea to główne miejsca, które odwiedzam, chociaż nie mam konkretnego ulubionego hobby.Lubię jeść w różnych lokalizacjach, takich jak bistros lub puby, stołówki i fast food..Jeśli znajdę czas wolny, zwykle przydzielam go na spotkania z przyjaciółmi",od 10 do 11 listopada,5,4,5,5,5,5,4,3,5,5,5,3,4,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
37,"Lubię łączyć zarówno aktywne, jak i pasywne zajęcia rekreacyjne, a najbardziej poszukiwane miejsca turystyczne to te, które pomagają mi zdobyć wiedzę lub doświadczenie.Mam różne zainteresowania, takie jak filozofia, książki fantasy, sport i gitara.",W przyszłą sobotę i niedzielę.,4,2,4,3,3,4,5,4,2,3,3,2,1,2,3,4,5,4,4,4,4,4,4,4,5,4,4,3,4,3,3,2,2,4,3,3,4,4,4,3,4,4,4,3,4,3,5,5,5,4,3,5,3
38,"Ponadto mam zamiłowanie do rowerów i częstych wizyt w basenach i innych popularnych miejscach turystycznych..Moje ulubione miejsca do jedzenia i spędzania czasu to restauracje, w których lubię naprawiać rowery i lubię spędzać wolny czas z przyjaciółmi",Od 5 do 30 sierpnia,5,3,5,3,5,4,0,3,5,5,2,5,4,3,2,4,5,4,2,4,3,5,5,3,4,3,5,2,1,3,5,2,1,4,2,3,4,2,5,3,2,4,3,2,4,5,5,3,4,5,3,4,2
39,".Fascynuje mnie świat przyrody, zwłaszcza zwierzęta i rośliny.Lubię podróżować i odkrywać nowe miejsca, a także jeść w restauracjach serwujących sushi i inne kuchnie azjatyckie",W najbliższy weekend.,3,1,0,1,0,3,0,2,4,3,5,1,0,0,0,2,2,2,2,2,2,2,2,1,4,4,2,0,0,1,0,0,2,0,1,0,0,0,3,0,0,0,0,2,2,0,5,5,5,1,1,2,0
40,".Przyciągają mnie również fantazja i science fiction, uwielbiam odkrywać nowe miejsca i wolę spędzać czas w naturze, niż być złapanym w zgiełku życia miasta.Lubię grać w gry takie jak karty lub gry turowe i czytać książki, a czasem oglądać serie.Moje zainteresowania obejmują matematykę, fizykę, gry komputerowe i planszowe, a także muzykę elektroniczną",od 2 do 10 sierpnia,3,0,4,1,1,1,0,1,1,4,4,2,0,0,0,3,3,3,5,2,4,4,4,3,4,4,2,1,1,1,1,2,2,1,1,3,2,2,1,3,3,1,2,2,2,0,4,2,2,1,1,3,1
41,"Lubię też odkrywać nowe miejsca poprzez przygody lub odwiedzanie atrakcji, które zapewniają mi ekscytację i jestem otoczony interesującymi ludźmi..Najbardziej imponujące zabytki miasta to ten, który widzę w nocy.Lubię sport i muzykę, grając na perkusji i granie w gry komputerowe",Od 1 do 6 grudnia.,5,5,4,1,4,5,5,3,0,3,2,4,0,3,1,4,4,0,0,0,0,2,2,0,3,3,4,1,1,0,0,0,1,0,0,0,0,0,0,0,4,1,2,2,0,5,4,1,2,5,1,1,3
42,".Fascynuje mnie historia i literatura, szczególnie klasyczne związane z polską historią i okresem międzywojennym.Preferuję odwiedzanie historycznych miejsc, takich jak biblioteki lub muzea, które honorują niektóre osoby, a także odkrywanie muzeów sztuki, które nie są współczesne.Lubię czytać książki i pisać po angielsku","Za tydzień, od 17 do 19 listopada",0,2,1,1,4,0,1,1,2,1,2,3,1,1,2,4,4,3,3,1,2,3,2,4,3,2,1,0,3,2,2,2,2,1,2,1,2,3,2,4,5,5,5,4,5,5,2,5,4,2,2,5,2
43,"Lubię też czytać książki i serie, szczególnie fantasy i science fiction, i wolę spędzać czas na wolności, zamiast być złapanym w zgiełku życia miasta.Dodatkowo lubię grać w muzykę elektroniczną i grać w gry takie jak karta lub inne gry turowe.Interesuje mnie matematyka, fizyka, komputer i gry planszowe.",od 2 do 10 sierpnia,3,0,4,1,1,1,0,1,1,4,4,2,0,0,0,3,3,3,5,2,4,4,4,3,4,4,2,1,1,1,1,2,2,1,1,3,2,2,1,3,3,1,2,2,2,0,4,2,2,1,1,3,1
44,"Moje główne zainteresowania polegają na odkrywaniu nowych technologii i problemów naukowych, a także poznanie historii odwiedzanych miejsc.Lubię odwiedzać atrakcje, które oferują historyczne możliwości uczenia się dzięki innowacyjnej technologii, ale nie jestem skłonny uczestniczyć w uciążliwych działaniach.Dodatkowo lubię kuchnię śródziemnomorską.",Od najbliższego piątku do poniedziałku.,2,3,1,1,1,0,1,1,1,2,3,1,2,3,3,3,4,1,1,2,1,1,2,3,4,4,3,3,2,2,1,1,3,1,3,0,0,0,0,1,3,2,2,3,1,0,3,2,2,5,2,1,2
45,"Moje zainteresowanie leży w lotnictwie, podczas gdy lubię chodzić po lesie i brać powietrze, co może być trudne w Krakowie.Ponadto rozkoszuję się spożywaniem lokalnych potraw, nawet z ograniczonym oznakowaniem wskazującym BLA BLA.",Jestem tam przez cały rok,4,3,2,2,3,4,1,0,4,4,4,4,3,4,1,3,4,2,2,2,2,2,2,3,4,4,4,4,4,3,1,1,2,2,0,4,4,2,2,3,3,3,3,3,4,0,4,4,4,5,5,3,5
46,"Moje zainteresowania obejmują psychologię ludzi i psów, sztukę ogólną, fizykę, spacery po górach (jako entuzjasta na świeżym powietrzu), uczestniczenie w wydarzeniach takich jak pokoje ucieczki, przejażdżki w parkach naukowych, granie w gry rólowe i angażowanie się w działania związane z działaniami związanymi zVR.Ludzie, którzy są zadowoleni z ludzi i ich kultury, spodoba mi się, ale mam też przyjemność z odkrywania otaczającego mnie świata.",Od 20 do 30 kwietnia ,5,2,5,3,5,5,3,5,3,5,2,2,5,1,1,5,5,2,2,2,2,3,2,3,2,2,4,2,2,2,1,1,1,2,3,4,4,4,4,1,5,2,2,1,1,3,5,5,5,2,4,2,2
47,"Fascynuje mnie otaczający mnie świat, ale znajduję pociechę u ludzi, którzy są zadowoleni ze siebie i swojej kultury, szczególnie tych, którzy identyfikują się jako LGBT..Lubię również uczestniczyć w różnych zajęciach, takich jak pokoje ucieczki, parki naukowe, poszukiwacze emocji i angażowanie się w interaktywne wydarzenia, takie jak Watters.Mam hobby, takie jak psychologia ludzi i psów, sztuka i fizyka, i lubię spacerować po górach",Od 20 do 30 kwietnia ,5,2,5,3,5,5,3,5,3,5,2,2,5,1,1,5,5,2,2,2,2,3,2,3,2,2,4,2,2,2,1,1,1,2,3,4,4,4,4,1,5,2,2,1,1,3,5,5,5,2,4,2,2
48,"Gry planszowe i jazda na rowerze są moimi preferowanymi rozrywkami, ale mam ograniczony czas na poświęcenie wydarzeń towarzyskich.Ponadto muzea są głównymi miejscami, w których często odwiedzam zajęcia rekreacyjne, podczas gdy moje preferencje są jadalni w Bistros, pubach i zakładach fast food.",od 10 do 11 listopada,5,4,5,5,5,5,4,3,5,5,5,3,4,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
49,".Lubię też grać w pokojach ucieczki, centrach naukowych (takich jak nauka), malownicze wycieczki rowerowe, kąpiele lub baseny z przyjaciółmi.Ponadto rozkoszuję się jadalnią w małych, atmosferycznych restauracjach, które serwują lokalne potrawy lub konkretną kuchnię zagraniczną, taką jak Indian lub Azja.Gry planszowe, książki karne i podcasty True Crime to moje preferowane rozrywki",Od 1 lipca do 7 lipca,5,3,3,2,5,3,1,1,1,4,5,5,2,3,5,5,5,1,4,4,3,3,3,5,5,4,5,4,4,2,1,3,3,0,1,1,3,1,1,5,2,5,5,3,5,4,5,5,5,5,5,5,3
50,"Interesuje się zarówno sztuką, jak i architekturą, z preferencją dla tego pierwszego.Najbardziej atrakcyjnymi miejscami do zobaczenia są dobrze zachowane zabytki, podczas gdy jadąc w ekskluzywnych restauracjach, wolę jeść w dobrze oświetlonych miejscach.Lubię literaturę rysowania i fantasy w wolnym czasie.","Wycieczka zacznie się wyjazdem  22 listopada , o godzinie 9:30, zakończy 27 listopada a planowany powrót to godzina około 21:00",0,2,0,0,1,2,2,2,3,5,5,5,1,2,0,5,4,4,5,2,2,3,1,4,5,2,0,0,0,0,0,2,0,3,2,3,4,4,5,4,5,5,4,0,1,0,0,2,4,5,5,5,5
